word_base,word_phonetic,word_audio_url,word_pos1,word_def1,word_syn1,word_ant1,word_pos2,word_def2,word_syn2,word_ant2,word_pos3,word_def3,word_syn3,word_ant3,word_source_url,word_pos4,word_def4,word_syn4,word_ant4,word_pos5,word_def5,word_syn5,word_ant5
capricious,/kəˈpɹɪʃəs/,,adjective,"Impulsive and unpredictable; determined by chance, impulse, or whim;;;","arbitrary,whimsical,","arbitrary,whimsical,",,,,,,,,,https://en.wiktionary.org/wiki/capricious,,,,,,,,
congenial,,,adjective,"Having the same or very similar nature, personality, tastes, habits or interests.;;;Friendly or sociable.;;;Suitable to one’s needs.;;;",,,,,,,,,,,https://en.wiktionary.org/wiki/congenial,,,,,,,,
flout,/flʌʊt/,,noun,The act by which something is flouted; violation of a law.;;;A mockery or insult.;;;,,,verb,"To express contempt for (laws, rules, etc.) by word or action.;;;To scorn.;;;",,,,,,,https://en.wiktionary.org/wiki/flout,,,,,,,,
humdrum,/ˈhʌmˌdɹʌm/,https://api.dictionaryapi.dev/media/pronunciations/en/humdrum-uk-us.mp3,noun,The quality of lacking variety or excitement.;;;A stupid fellow.;;;,"dullness,monotony,","dullness,monotony,",adjective,Lacking variety or excitement; dull; boring.;;;,,,,,,,https://en.wiktionary.org/wiki/humdrum,,,,,,,,
loquacious,/ləʊˈkweɪʃəs/,,adjective,Talkative; chatty.;;;,"chatty,garrulous,talkative,","chatty,garrulous,talkative,",,,,,,,,,https://en.wiktionary.org/wiki/loquacious,,,,,,,,
proclivity,/pɹoʊˈklɪvəti/,https://api.dictionaryapi.dev/media/pronunciations/en/proclivity-us.mp3,noun,"A predisposition or natural inclination, propensity, or a predilection; especially, a strong disposition or bent.;;;","penchant,propensity,","penchant,propensity,",,,,,,,,,https://en.wiktionary.org/wiki/proclivity,,,,,,,,
boisterous,/ˈbɔɪstəɹəs/,https://api.dictionaryapi.dev/media/pronunciations/en/boisterous-us.mp3,adjective,Full of energy; exuberant; noisy.;;;Characterized by violence and agitation; wild; stormy.;;;Having or resembling animal exuberance.;;;,,,,,,,,,,,https://en.wiktionary.org/wiki/boisterous,,,,,,,,
churlish,,https://api.dictionaryapi.dev/media/pronunciations/en/churlish-au.mp3,adjective,"Of or pertaining to a serf, peasant, or rustic.;;;Rude, surly, ungracious.;;;Stingy or grudging.;;;(of soil) Difficult to till, lacking pliancy; unmanageable.;;;","cross-grained,rude,surly,ungracious,grudging,illiberal,miserly,niggardly,stingy,rustic,","cross-grained,rude,surly,ungracious,grudging,illiberal,miserly,niggardly,stingy,rustic,",,,,,,,,,https://en.wiktionary.org/wiki/churlish,,,,,,,,
debilitating,/dɪˈbɪlɪteɪtɪŋ(ɡ)/,,verb,To make feeble; to weaken.;;;,"enervate,enfeeble,weaken,","enervate,enfeeble,weaken,",adjective,Causing a loss of energy or strength.;;;,,,,,,,https://en.wiktionary.org/wiki/debilitate,,,,,,,,
droll,/dɹəʊl/,,noun,"A funny person; a buffoon, a wag.;;;",,,verb,"To jest, to joke.;;;",,,adjective,"Oddly humorous; whimsical, amusing in a quaint way; waggish.;;;",,,https://en.wiktionary.org/wiki/droll,,,,,,,,
limpid,/ˈlɪmpɪd/,https://api.dictionaryapi.dev/media/pronunciations/en/limpid-us.mp3,adjective,"Clear, transparent or bright.;;;",,,,,,,,,,,https://en.wiktionary.org/wiki/limpid,,,,,,,,
mawkish,/ˈmɑːkɪʃ/,,adjective,"Feeling sick, queasy.;;;Sickening or insipid in taste or smell.;;;Excessively or falsely sentimental; showing a sickly excess of sentiment; maudlin.;;;","cutesy,schmaltzy,","cutesy,schmaltzy,",,,,,,,,,https://en.wiktionary.org/wiki/mawkish,,,,,,,,
obeisance,/oʊˈbeɪsəns/,https://api.dictionaryapi.dev/media/pronunciations/en/obeisance-us.mp3,noun,"Demonstration of an obedient attitude, especially by bowing deeply; a deep bow which demonstrates such an attitude.;;;An obedient attitude.;;;",,,,,,,,,,,https://en.wiktionary.org/wiki/obeisance,,,,,,,,
ostentatious,/ˌɒs.tənˈteɪ.ʃəs/,,adjective,Of ostentation.;;;Intended to attract notice.;;;Of tawdry display; kitsch.;;;,,,,,,,,,,,https://en.wiktionary.org/wiki/ostentatious,,,,,,,,
predilection,/ˌpɹiː.dəˈlɛk.ʃn̩/,https://api.dictionaryapi.dev/media/pronunciations/en/predilection-uk.mp3,noun,Condition of favoring or liking; tendency towards; proclivity; predisposition.;;;,,,,,,,,,,,https://en.wiktionary.org/wiki/predilection,,,,,,,,
sham,/ʃæm/,https://api.dictionaryapi.dev/media/pronunciations/en/sham-uk.mp3,noun,"A fake; an imitation that purports to be genuine.;;;Trickery, hoaxing.;;;A false front, or removable ornamental covering.;;;A decorative cover for a pillow.;;;",,,verb,"To deceive, cheat, lie.;;;To obtrude by fraud or imposition.;;;To assume the manner and character of; to imitate; to ape; to feign.;;;",,,adjective,Intended to deceive; false.;;;Counterfeit; unreal;;;,"mock,","mock,",https://en.wiktionary.org/wiki/sham,,,,,,,,
truculent,/ˈtɹʌkjʊlənt/,https://api.dictionaryapi.dev/media/pronunciations/en/truculent-us.mp3,adjective,"Cruel or savage.;;;Deadly or destructive.;;;Defiant or uncompromising.;;;Eager or quick to argue, fight or start a conflict.;;;","barbarous,cruel,ferocious,fierce,savage,deadly,destructive,defiant,inflexible,stubborn,uncompromising,unyielding,belligerent,","barbarous,cruel,ferocious,fierce,savage,deadly,destructive,defiant,inflexible,stubborn,uncompromising,unyielding,belligerent,",,,,,,,,,https://en.wiktionary.org/wiki/truculent,,,,,,,,
abject,/ˈæb.d͡ʒɛkt/,https://api.dictionaryapi.dev/media/pronunciations/en/abject-uk.mp3,noun,A person in the lowest and most despicable condition; a castaway; outcast.;;;,,,adjective,"Sunk to or existing in a low condition, state, or position.;;;Cast down in spirit or hope; degraded; servile; grovelling; despicable; lacking courage; offered in a humble and often ingratiating spirit.;;;Showing utter hopelessness, helplessness; showing resignation; wretched.;;;Rejected; cast aside.;;;","beggarly,contemptible,cringing,degraded,groveling,ignoble,mean,mean-spirited,slavish,vile,worthless,","beggarly,contemptible,cringing,degraded,groveling,ignoble,mean,mean-spirited,slavish,vile,worthless,",verb,"To cast off or out; to reject.;;;To cast down; hence, to abase; to degrade; to lower; to debase.;;;",,,https://en.wiktionary.org/wiki/abject,,,,,,,,
aver,/əˈvɜː/,,verb,"To assert the truth of, to affirm with confidence; to declare in a positive manner.;;;To prove or justify a plea.;;;To avouch, prove, or verify; to offer to verify.;;;",,,noun,"Possessions, property, belongings, wealth.;;;",,,noun,"A work-horse, working ox, or other beast of burden.;;;",,,https://en.wiktionary.org/wiki/aver,,,,,,,,
